species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Asian Elephant,95.19,10,2,2,2,2,2,72.78
Tiger,74.95,15,3,2,2,2,0,73.64
Spotted Deer,68.44,16,5,1,0,2,2,65.37
Tiger,77.26,17,5,2,0,2,0,70.9
Tiger,61.89,19,6,2,0,0,0,70.06
Asian Elephant,92.0,11,5,0,0,0,0,41.78
Wild Boar,92.23,16,2,2,2,2,0,67.54
Tiger,82.93,5,2,1,2,0,2,52.79
Leopard,73.77,5,0,2,1,0,2,48.51
Wild Boar,91.19,14,5,0,1,0,1,50.02
Spotted Deer,81.63,18,6,0,1,1,2,64.37
Asian Elephant,92.21,8,3,0,2,0,1,48.9
Spotted Deer,84.63,5,4,0,2,0,0,35.6
Wild Boar,90.59,7,5,2,2,2,2,78.46
Wild Boar,83.34,16,0,1,1,2,0,50.17
Wild Boar,76.15,14,0,1,0,1,1,40.88
Spotted Deer,97.36,5,3,1,0,1,2,41.85
Wild Boar,81.1,9,6,2,0,0,2,66.15
Spotted Deer,83.6,4,1,2,0,0,2,37.13
Wild Boar,68.6,4,0,2,0,2,2,46.75
Leopard,84.4,16,2,1,2,0,0,52.91
Wild Boar,82.29,17,2,2,1,0,2,62.46
Spotted Deer,67.21,15,4,2,0,0,1,53.77
Tiger,62.32,4,0,0,0,0,2,24.09
Wild Boar,83.57,6,6,0,0,0,1,39.87
Tiger,89.78,16,4,1,2,0,1,70.1
Leopard,80.41,4,0,0,0,0,0,15.67
Asian Elephant,68.84,6,3,0,1,0,2,40.02
Leopard,85.99,5,5,0,2,2,1,59.16
Wild Boar,63.12,16,6,2,2,1,2,84.2
Tiger,77.23,16,0,0,2,0,0,37.04
Tiger,66.37,10,6,0,0,2,0,56.13
Spotted Deer,67.19,9,1,0,0,0,2,29.83
Tiger,67.89,4,6,2,0,0,1,57.25
Spotted Deer,75.08,14,6,1,0,1,0,51.03
Asian Elephant,61.99,4,2,2,1,2,1,55.97
Wild Boar,75.51,12,3,2,2,0,1,62.78
Spotted Deer,79.96,10,5,0,0,1,2,48.13
Asian Elephant,78.85,4,5,1,1,1,0,51.06
Tiger,74.93,18,2,0,2,0,2,61.35
Tiger,92.73,13,6,0,2,0,2,71.46
Asian Elephant,65.67,13,5,1,2,2,2,75.97
Tiger,79.72,14,4,1,0,2,1,66.14
Asian Elephant,62.42,18,3,2,2,0,2,75.61
Spotted Deer,62.78,1,1,1,0,0,0,15.75
Spotted Deer,82.38,16,2,2,1,1,1,59.73
Asian Elephant,82.07,15,0,2,2,2,2,72.22
Spotted Deer,94.24,5,0,0,1,0,0,14.98
Spotted Deer,81.76,6,0,0,0,0,2,25.56
Spotted Deer,97.43,6,3,0,0,2,2,41.12
Leopard,61.9,3,1,1,0,0,2,36.44
Wild Boar,63.82,16,5,1,2,1,1,67.53
Tiger,61.72,12,1,2,2,1,2,70.05
Leopard,67.23,4,1,2,1,0,0,37.31
Spotted Deer,81.11,1,2,2,0,2,2,50.25
Asian Elephant,85.18,4,3,1,1,1,2,55.63
Spotted Deer,61.78,1,0,2,0,2,1,32.89
Wild Boar,96.89,8,2,2,0,2,2,61.66
Spotted Deer,92.84,5,5,1,1,2,0,51.09
Asian Elephant,71.57,2,1,0,0,1,0,23.1
Wild Boar,63.01,12,6,1,1,1,2,67.17
Spotted Deer,66.63,17,0,2,2,0,0,46.42
Wild Boar,64.95,7,3,0,1,2,0,37.58
Tiger,64.81,11,4,1,1,1,2,61.89
Tiger,80.22,4,1,0,0,1,0,27.07
Spotted Deer,69.59,5,1,0,1,0,0,17.93
Wild Boar,73.97,6,1,2,2,1,2,56.02
Asian Elephant,98.59,11,1,1,2,1,1,57.92
Spotted Deer,86.69,1,0,2,2,1,1,43.65
Tiger,97.01,10,3,1,2,0,2,64.56
Tiger,65.56,20,2,1,1,0,1,56.91
Spotted Deer,74.9,11,0,1,2,2,1,45.88
Wild Boar,81.63,17,3,0,1,1,1,49.21
Tiger,62.99,8,2,0,1,0,1,37.84
Wild Boar,60.16,13,1,2,0,0,2,46.7
Tiger,86.15,20,3,1,1,0,1,61.34
Tiger,85.03,18,1,1,1,2,1,64.6
Leopard,76.02,16,6,0,0,2,2,71.13
Tiger,79.1,2,3,1,2,2,2,63.15
Asian Elephant,76.2,5,5,2,2,2,1,77.85
Spotted Deer,60.94,18,4,1,1,2,0,56.8
Spotted Deer,73.08,3,1,1,0,1,2,34.64
Wild Boar,66.91,17,1,0,1,1,2,50.14
Tiger,63.84,16,1,1,1,0,1,51.39
Asian Elephant,97.31,6,5,2,2,2,0,73.13
Wild Boar,83.38,19,0,2,0,2,2,63.54
Leopard,88.42,7,2,2,1,0,2,57.97
Wild Boar,72.3,18,1,2,2,1,2,70.76
Wild Boar,75.33,14,1,0,1,2,0,40.43
Tiger,69.24,6,0,1,2,2,2,59.5
Leopard,63.78,8,0,0,0,2,2,38.4
Wild Boar,66.98,15,4,2,1,1,0,59.73
Asian Elephant,91.1,15,3,1,0,1,2,59.76
Asian Elephant,86.42,15,1,0,2,2,0,55.64
Spotted Deer,81.33,16,3,1,0,2,0,48.25
Leopard,78.53,1,6,2,0,0,0,48.88
Leopard,95.97,11,0,2,0,0,1,45.37
Spotted Deer,62.84,5,0,1,1,1,2,37.3
Wild Boar,70.94,5,4,1,2,0,2,58.06
Leopard,73.65,6,2,2,0,2,2,60.41
Asian Elephant,90.51,2,5,0,1,1,0,44.25
Asian Elephant,98.71,6,5,2,2,0,1,67.24
Tiger,69.39,14,5,1,2,1,0,65.04
Leopard,94.1,11,0,0,2,2,2,59.21
Wild Boar,92.39,4,1,2,0,0,0,33.4
Spotted Deer,68.76,9,4,1,0,0,1,38.74
Spotted Deer,75.57,3,2,1,0,0,2,32.74
Wild Boar,75.98,16,6,1,2,2,0,72.93
Tiger,98.15,11,5,0,2,1,1,67.74
Spotted Deer,67.05,4,4,0,0,0,0,22.32
Leopard,91.17,1,0,0,0,1,0,16.38
Tiger,73.03,16,5,0,2,1,2,70.02
Leopard,88.5,19,2,1,2,1,1,65.84
Asian Elephant,76.38,16,6,1,1,2,0,72.65
Tiger,82.56,11,3,0,1,2,1,52.85
Spotted Deer,92.47,8,6,0,0,0,2,46.15
Tiger,91.36,1,2,1,2,0,2,52.65
Tiger,93.79,9,6,2,2,1,2,87.1
Tiger,62.33,12,1,2,1,1,1,57.47
Tiger,86.99,8,5,1,2,1,1,69.73
Leopard,65.46,17,5,0,0,2,0,51.74
Asian Elephant,76.22,10,3,0,1,2,1,53.97
Wild Boar,81.39,7,6,1,2,0,2,64.12
Tiger,75.71,19,3,2,2,1,0,73.1
Spotted Deer,80.26,6,6,1,0,1,1,49.16
Tiger,98.86,19,5,1,2,2,2,91.45
Spotted Deer,65.27,18,1,1,1,0,2,45.3
Leopard,86.34,15,6,0,1,1,0,59.15
Spotted Deer,75.44,2,3,0,2,1,2,43.72
Wild Boar,65.19,14,0,0,2,0,1,36.06
Asian Elephant,66.19,10,5,2,2,1,2,77.47
Spotted Deer,97.02,16,2,1,2,2,0,56.19
Spotted Deer,94.3,7,2,1,1,0,2,41.24
Asian Elephant,95.37,8,1,2,0,1,2,56.26
Wild Boar,98.67,10,0,0,1,1,1,37.37
Tiger,68.12,15,3,1,2,2,1,69.87
Spotted Deer,73.86,8,6,2,2,2,1,70.28
Asian Elephant,86.1,13,5,0,1,2,1,63.93
Leopard,78.87,12,2,0,1,1,2,49.36
Asian Elephant,76.32,8,2,1,2,1,1,52.76
Leopard,73.95,15,2,0,1,1,2,55.01
Wild Boar,83.16,12,2,2,2,0,1,56.69
Tiger,82.45,11,4,0,1,2,1,60.34
Asian Elephant,66.3,19,1,1,2,0,1,52.64
Spotted Deer,78.4,14,3,2,1,2,2,66.49
Wild Boar,81.59,18,5,0,2,1,1,65.4
Asian Elephant,82.24,13,5,0,0,0,2,51.85
Spotted Deer,68.19,4,5,0,0,0,1,27.38
Asian Elephant,88.95,17,3,2,1,2,1,77.61
Leopard,60.98,19,1,0,0,0,0,32.2
Asian Elephant,73.84,9,0,1,2,0,1,39.02
Asian Elephant,90.43,7,6,2,1,1,2,77.82
Asian Elephant,81.99,1,6,2,1,2,0,61.69
Wild Boar,70.19,7,1,0,2,0,2,35.22
Asian Elephant,87.1,7,2,2,2,1,2,65.5
Spotted Deer,82.13,20,6,1,2,0,0,63.25
Leopard,91.05,7,2,2,1,1,1,56.8
Leopard,88.67,8,1,1,2,0,0,38.24
Asian Elephant,83.79,16,1,0,0,1,2,44.56
Wild Boar,79.04,3,3,2,1,1,1,50.92
Wild Boar,65.19,13,3,1,2,2,0,56.77
Spotted Deer,70.19,10,4,0,1,1,2,49.16
Asian Elephant,76.34,18,5,1,0,0,1,58.44
Leopard,83.37,7,4,2,0,1,2,63.82
Wild Boar,80.03,5,5,2,2,1,1,68.43
Asian Elephant,71.24,7,2,1,1,0,1,43.72
Wild Boar,60.25,17,4,0,2,0,0,41.22
Wild Boar,79.35,4,4,0,1,1,1,41.21
Leopard,71.14,16,0,0,2,0,2,46.1
Tiger,88.65,19,1,0,2,1,1,57.9
Spotted Deer,60.93,10,3,1,1,1,2,46.46
Spotted Deer,82.81,3,4,2,1,1,1,50.73
Leopard,96.72,3,3,1,0,0,1,36.48
